,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
195,-11.6,89.29,130.06,158.31,-55.51,143,0.14,0,0.4
196,-34.09,78.83,79.55,4.27,27.73,0.22,0.87,-1.15,0.85
197,40.43,53.55,25.28,-5.37,-34.79,-45,0.22,-1.01,-0.01
198,3.85,37.43,16.82,-182.18,-24.57,-13,0.6,-1.12,-0.24
199,-15.08,80.41,9.69,-197.76,-83.6,155,1.08,-0.74,0.09
200,-64.7,111.55,13.98,-17.38,-54.06,14.8,0.06,0.28,0.45
201,-26,117.8,26.67,-16.31,183.34,-58,0.12,0.65,0.7
202,0.04,113.48,30.81,24.31,147.11,-250,0.07,0.3,0.53
203,24.67,88.44,32.64,48.03,44.03,-100.3,1.34,-0.36,0.25
204,64.78,55.49,52.64,14.09,2.74,0.17,0.67,-0.89,-0.08
205,38.87,31.4,50.88,7.59,-81.34,95.26,0.24,-1.04,-0.04
206,-7.61,44.4,43.75,88.05,-106.73,250,0.08,-1.22,0.57
207,-12.87,68.78,64.4,9.83,-81.66,149.48,-0.03,-1.05,0.88
208,22.74,95.03,122.26,100.48,105.76,-49,0.33,0.28,0.38
209,28.52,85.88,138.71,250.13,115.96,87.4,0.39,0.54,0.61
210,-1.56,71.11,131.87,81.16,-15.98,110.1,0.09,0.44,0.13
211,-39.63,5.64,109.33,-11.04,-41.31,-6,0.77,-0.1,0.43
212,18.43,-54.23,43.27,-80.76,-250.14,-15,0.36,-0.85,0.07
213,34.13,-67.66,28.07,-246.04,-229.28,70,0.51,-0.9,-0.11
214,1.64,-45.86,25.41,-43.42,-59.08,131,0.7,-1.1,-0.26
215,-22.77,5.33,7.55,3.37,80.93,6.27,1.17,-0.72,-0.08
216,-64.79,64.99,24.31,-58.75,203.61,-87,0.24,0.48,0.66
217,-11.57,75.06,33.06,73.73,250.13,-250,0.11,0.67,0.67
218,3.67,69.98,35.36,33.42,53.44,-44.5,0.13,0.14,0.2
219,50.37,27.37,27.71,7.36,-7.27,14.16,0.89,-0.17,-0.11
220,64.78,-15.04,28.97,-29.97,-155.66,194,0.34,-0.99,0.01
221,30.12,-41.06,18.55,11.22,-153.73,250,0.37,-1.01,0.04
